,SignalTagging.bins_over_threshold,SignalTagging.threshold,SignalTagging.signal_length,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
132,1.0,11.7,375.0,1.5,4.0,24.0,pe hit time,0.5,3,0.8049654278801591,0.6690710247523752,0.6523194874368746,0.7971391842869092,1.0059582244907306,-0.31889929357084684
133,1.0,11.7,375.0,1.5,4.0,36.0,constant fraction,0.1,3,0.8254928506430906,0.6690710248653193,0.6523194875453141,0.7971391844752606,0.8287950464249424,-0.12925404325233814
134,1.0,11.7,375.0,1.5,4.0,36.0,constant fraction,0.2,3,0.8254928506430906,0.6690710248653193,0.6523194875453141,0.7971391844752606,0.9306649908011536,-0.1622823450191496
135,1.0,11.7,375.0,1.5,4.0,36.0,constant fraction,0.3,3,0.8254928506430906,0.6690710248653193,0.6523194875453141,0.7971391844752606,1.0399957599600724,-0.17533211474630017
136,1.0,11.7,375.0,1.5,4.0,36.0,constant fraction,0.5,3,0.8254928506430906,0.6690710248653193,0.6523194875453141,0.7971391844752606,1.4716820005210058,-0.2613530042945875
137,1.0,11.7,375.0,1.5,4.0,36.0,pe hit time,0.5,1,0.8254928506430906,0.6690710248653193,0.6523194875453141,0.7971391844752606,0.8371845548400529,-0.20061000625289005
138,1.0,11.7,375.0,1.5,4.0,36.0,pe hit time,0.5,2,0.8254928506430906,0.6690710248653193,0.6523194875453141,0.7971391844752606,0.936909332251468,-0.24097345829219058
139,1.0,11.7,375.0,1.5,4.0,36.0,pe hit time,0.5,3,0.8254928506430906,0.6690710248653193,0.6523194875453141,0.7971391844752606,1.019073912896796,-0.3176365507062662
140,1.0,11.7,375.0,1.5,4.0,50.0,constant fraction,0.1,3,0.8254928506030128,0.6690710250119877,0.6546486800502908,0.7971391845631345,0.8310532577678077,-0.13138382055909537
141,1.0,11.7,375.0,1.5,4.0,50.0,constant fraction,0.2,3,0.8254928506030128,0.6690710250119877,0.6546486800502908,0.7971391845631345,0.9347145708166282,-0.15927486353008344
