,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
78,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,12.0,1.0,0.5,6.0,13.500000000198973,9.59604212535061,12.128335754003329,10.45899740719175,0.8889035347971207,-0.5593237425080922
79,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,12.0,1.0,0.6,6.0,13.500000000198973,9.59604212535061,12.128335754003329,10.45899740719175,1.813143913205348,-0.5614503664244742
80,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,12.0,2.0,0.5,6.0,13.500000001403066,9.605605617927013,12.16004804086668,10.466386167339998,0.8889035347971207,-0.5593237425080922
81,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,12.0,2.0,0.6,6.0,13.500000001403066,9.605605617927013,12.16004804086668,10.466386167339998,1.813143913205348,-0.5614503664244742
82,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,12.0,3.0,0.5,6.0,13.500000000805839,9.660105959230789,11.82519876461931,10.51386353776076,0.893287725537488,-0.5594005659150518
83,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,12.0,3.0,0.6,6.0,13.500000000805839,9.660105959230789,11.82519876461931,10.51386353776076,0.7429779684837002,-0.5613092651099353
84,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,36.0,1.0,0.5,6.0,15.500000000607319,13.283048280961022,13.500000000599949,12.973885048738229,1.5249139617542025,-0.5918155230915615
85,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,36.0,1.0,0.6,6.0,15.500000000607319,13.283048280961022,13.500000000599949,12.973885048738229,1.9676180490863704,-0.5396364062513362
86,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,36.0,2.0,0.5,6.0,15.500000001850786,7.604063642671475,13.500000001027884,12.978209912209447,1.5249139617542025,-0.5918155230915615
87,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,36.0,2.0,0.6,6.0,15.500000001850786,7.604063642671475,13.500000001027884,12.978209912209447,1.9676180490863704,-0.5396364062513362
88,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,36.0,3.0,0.5,6.0,15.500000001086214,11.881654707752027,13.500000001999036,12.998439169730595,1.5210596105675422,-0.590304519751814
89,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,36.0,3.0,0.6,6.0,15.500000001086214,11.881654707752027,13.500000001999036,12.998439169730595,0.8774754163092767,-0.5403097101683108
90,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,4.0,1.0,0.5,6.0,9.163485524981118,5.761691531425852,7.533051401981761,6.812017859584301,0.8290462423035467,-0.37941733038224856
91,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,4.0,1.0,0.6,6.0,9.163485524981118,5.761691531425852,7.533051401981761,6.812017859584301,0.7885379014749706,-0.3813220866804141
92,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,4.0,2.0,0.5,6.0,9.037203975760214,4.6755415688815605,7.732820942878693,6.720007211920483,0.8309453331149637,-0.3749069923402527
93,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,4.0,2.0,0.6,6.0,9.037203975760214,4.6755415688815605,7.732820942878693,6.720007211920483,0.7997038670262085,-0.39259139596534903
94,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,4.0,3.0,0.5,6.0,9.198340128098172,4.803845464515927,7.330171849287964,6.64590822175572,0.8418565627645292,-0.3755986199046345
95,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,4.0,3.0,0.6,6.0,9.198340128098172,4.803845464515927,7.330171849287964,6.64590822175572,0.8031875393530749,-0.39004047474349357
96,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,12.0,1.0,0.5,6.0,13.500000000198973,9.59604212535061,12.128335754003329,10.45899740719175,1.82797466269635,-0.3682300436158629
97,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,12.0,1.0,0.6,6.0,13.500000000198973,9.59604212535061,12.128335754003329,10.45899740719175,0.7987993384955339,-0.3697045045482065
98,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,12.0,2.0,0.5,6.0,13.500000001403066,9.605605617927013,12.16004804086668,10.466386167339998,1.82797466269635,-0.3682300436158629
99,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,12.0,2.0,0.6,6.0,13.500000001403066,9.605605617927013,12.16004804086668,10.466386167339998,0.7987993384955339,-0.3697045045482065
100,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,12.0,3.0,0.5,6.0,13.500000000805839,9.660105959230789,11.82519876461931,10.51386353776076,1.847296894968457,-0.3670082243619534
